Segment,Country,Carretera,Units Sold,Manufacturing Price,Sale Price,Gross Sales, Sales,COGS,Profit,Date
Government,France,Amarilla,2487.0,250,7,17409.0,16538.55,12435.0,4103.549999999999,2014-12-01
Government,Germany,Amarilla,1350.0,260,350,472500.0,448875.0,351000.0,97875.0,2014-02-01
Government,Canada,Amarilla,552.0,260,350,193200.0,183540.0,143520.0,40020.0,2014-08-01
Government,Canada,Amarilla,1228.0,260,350,429800.0,408310.0,319280.0,89030.0,2013-10-01
Small Business,Germany,Paseo,1250.0,260,300,375000.0,356250.0,312500.0,43750.0,2014-12-01
Midmarket,France,Carretera,3801.0,10,15,57015.0,53594.100000000006,38010.0,15584.100000000002,2014-04-01
Government,United States of America,Carretera,1117.5,3,20,22350.0,21009.0,11175.0,9834.0,2014-01-01
Midmarket,Canada,Carretera,2844.0,3,15,42660.0,40100.4,28440.0,11660.400000000001,2014-06-01
Channel Partners,Mexico,Carretera,562.0,3,12,6744.0,6339.36,1686.0,4653.36,2014-09-01
Channel Partners,Canada,Carretera,2299.0,3,12,27588.0,25932.72,6897.0,19035.72,2013-10-01
Midmarket,United States of America,Carretera,2030.0,3,15,30450.0,28623.0,20300.0,8323.0,2014-11-01
Government,United States of America,Carretera,263.0,3,7,1841.0,1730.54,1315.0,415.53999999999996,2013-11-01
Enterprise,Germany,Montana,887.0,3,125,110875.0,104222.5,106440.0,-2217.5,2013-12-01
Government,Mexico,Montana,980.0,5,350,343000.0,322420.0,254800.0,67620.0,2014-04-01
Government,Germany,Montana,1460.0,5,350,511000.0,480340.0,379600.0,100740.0,2014-05-01
Government,France,Montana,1403.0,5,7,9821.0,9231.74,7015.0,2216.74,2013-10-01
Channel Partners,United States of America,Paseo,2723.0,5,12,32676.0,30715.44,8169.0,22546.44,2014-11-01
Government,France,Paseo,1496.0,10,350,523600.0,492184.0,388960.0,103224.0,2014-06-01
Channel Partners,Canada,Paseo,2299.0,10,12,27588.0,25932.72,6897.0,19035.72,2013-10-01
Government,United States of America,Velo,727.0,10,350,254450.0,239183.0,189020.0,50163.0,2013-10-01
Enterprise,Canada,Velo,952.0,120,125,119000.0,111860.0,114240.0,-2380.0,2014-02-01
Enterprise,United States of America,Velo,2755.0,120,125,344375.0,323712.5,330600.0,-6887.5,2014-02-01
Midmarket,Germany,Velo,1530.0,120,15,22950.0,21573.0,15300.0,6273.0,2014-05-01
Government,France,Velo,1496.0,120,350,523600.0,492184.0,388960.0,103224.0,2014-06-01
Government,Mexico,Velo,1498.0,120,7,10486.0,9856.84,7490.0,2366.84,2014-06-01
Small Business,France,Velo,1221.0,120,300,366300.0,344322.0,305250.0,39072.0,2013-10-01
Government,France,VTT,2076.0,120,350,726600.0,683004.0,539760.0,143244.0,2013-10-01
Midmarket,Canada,VTT,2844.0,250,15,42660.0,40100.4,28440.0,11660.400000000001,2014-06-01
Government,Mexico,VTT,1498.0,250,7,10486.0,9856.84,7490.0,2366.84,2014-06-01
Small Business,France,VTT,1221.0,250,300,366300.0,344322.0,305250.0,39072.0,2013-10-01
Government,Mexico,VTT,1123.0,250,20,22460.0,21112.4,11230.0,9882.400000000001,2013-11-01
Small Business,Canada,Amarilla,2436.0,250,300,730800.0,686952.0,609000.0,77952.0,2013-12-01
Enterprise,France,Amarilla,1987.5,260,125,248437.5,233531.25,238500.0,-4968.75,2014-01-01
Government,France,Montana,2521.5,3,20,50430.0,44378.399999999994,25215.0,19163.399999999998,2014-01-01
Channel Partners,Mexico,Paseo,2661.0,5,12,31932.0,28100.16,7983.0,20117.16,2014-05-01
Government,Germany,VTT,1531.0,10,20,30620.0,26945.6,15310.0,11635.599999999999,2014-12-01
Government,France,VTT,1491.0,250,7,10437.0,9184.56,7455.0,1729.5599999999995,2014-03-01
Government,Germany,Amarilla,1531.0,250,20,30620.0,26945.6,15310.0,11635.599999999999,2014-12-01
Channel Partners,Canada,Carretera,2761.0,260,12,33132.0,29156.16,8283.0,20873.16,2013-09-01
Midmarket,United States of America,VTT,2567.0,3,15,38505.0,33499.35,25670.0,7829.3499999999985,2014-06-01
Midmarket,United States of America,Carretera,2567.0,250,15,38505.0,33499.35,25670.0,7829.3499999999985,2014-06-01
Government,Canada,Carretera,923.0,3,350,323050.0,281053.5,239980.0,41073.5,2014-03-01
Government,France,Carretera,1790.0,3,350,626500.0,545055.0,465400.0,79655.0,2014-03-01
Government,Germany,Montana,442.0,3,20,8840.0,7690.8,4420.0,3270.8,2013-09-01
Government,United States of America,Montana,982.5,5,350,343875.0,299171.25,255450.0,43721.25,2014-01-01
Government,United States of America,Montana,1298.0,5,7,9086.0,7904.82,6490.0,1414.8199999999997,2014-02-01
Channel Partners,Mexico,Montana,604.0,5,12,7248.0,6305.76,1812.0,4493.76,2014-06-01
Government,Mexico,Montana,2255.0,5,20,45100.0,39237.0,22550.0,16687.0,2014-07-01
Government,Canada,Paseo,1249.0,5,20,24980.0,21732.6,12490.0,9242.599999999999,2014-10-01
Government,United States of America,Paseo,1438.5,10,7,10069.5,8760.465,7192.5,1567.9649999999992,2014-01-01
Small Business,Germany,Paseo,807.0,10,300,242100.0,210627.0,201750.0,8877.0,2014-01-01
Government,United States of America,Paseo,2641.0,10,20,52820.0,45953.4,26410.0,19543.4,2014-02-01
Government,Germany,Paseo,2708.0,10,20,54160.0,47119.2,27080.0,20039.199999999997,2014-02-01
Government,Canada,Paseo,2632.0,10,350,921200.0,801444.0,684320.0,117124.0,2014-06-01
Enterprise,Canada,Paseo,1583.0,10,125,197875.0,172151.25,189960.0,-17808.75,2014-06-01
Channel Partners,Mexico,Paseo,571.0,10,12,6852.0,5961.24,1713.0,4248.24,2014-07-01
Government,France,Paseo,2696.0,10,7,18872.0,16418.64,13480.0,2938.6399999999994,2014-08-01
Midmarket,Canada,Paseo,1565.0,10,15,23475.0,20423.25,15650.0,4773.25,2014-10-01
Government,Canada,Paseo,1249.0,10,20,24980.0,21732.6,12490.0,9242.599999999999,2014-10-01
Government,Germany,Paseo,357.0,10,350,124950.0,108706.5,92820.0,15886.5,2014-11-01
Channel Partners,Germany,Velo,1013.0,10,12,12156.0,10575.72,3039.0,7536.719999999999,2014-12-01
Midmarket,France,Velo,3997.5,120,15,59962.5,52167.375,39975.0,12192.375,2014-01-01
Government,Canada,Velo,2632.0,120,350,921200.0,801444.0,684320.0,117124.0,2014-06-01
Government,France,Velo,1190.0,120,7,8330.0,7247.1,5950.0,1297.1000000000004,2014-06-01
Channel Partners,Mexico,Velo,604.0,120,12,7248.0,6305.76,1812.0,4493.76,2014-06-01
Midmarket,Germany,Velo,660.0,120,15,9900.0,8613.0,6600.0,2013.0,2013-09-01
Government,Canada,Montana,2227.5,5,350,779625.0,670477.5,579150.0,91327.5,2014-01-01
Midmarket,Canada,Carretera,2300.0,3,15,34500.0,29670.0,23000.0,6670.0,2014-12-01
Midmarket,Canada,Paseo,2300.0,5,15,34500.0,29670.0,23000.0,6670.0,2014-12-01
Government,Canada,Paseo,2428.0,10,20,48560.0,41761.6,24280.0,17481.6,2014-03-01
Enterprise,United States of America,Velo,2438.0,120,125,304750.0,259037.5,292560.0,-33522.5,2013-12-01
Small Business,United States of America,Velo,2460.0,120,300,738000.0,634680.0,615000.0,19680.0,2014-07-01
Midmarket,Canada,Paseo,2470.0,10,15,37050.0,31863.0,24700.0,7163.0,2013-09-01
Channel Partners,France,Amarilla,2475.0,260,12,29700.0,25542.0,7425.0,18117.0,2014-08-01
